Chr1,Chr2,Blocks
1:,utex2526_scaffold_15_g181.t1,2
1:,utex2526_scaffold_15_g457.t1,2
3:,utex395_scaffold_12_g14.t1,2
1:,utex2526_scaffold_15_g472.t1,2
13:,utex2526_scaffold_15_g96.t1,2
1:,utexb3016_scaffold_10_g256.t1,2
1:,utex2526_scaffold_15_g643.t1,2
3:,utex2526_scaffold_15_g932.t1,2
0:,utex395_scaffold_17_g713.t1,2
2:,utex395_scaffold_18_g373.t1,2
3:,utex2526_scaffold_15_g481.t1,2
3:,utex2526_scaffold_15_g1039.t1,2
3:,utex2526_scaffold_15_g1074.t1,2
3:,utex2526_scaffold_15_g1182.t1,2
3:,utex2526_scaffold_15_g185.t1,2
1:,utexb3016_scaffold_15_g593.t1,2
1:,utex2526_scaffold_12_g74.t1,2
4:,utexb3016_scaffold_17_g662.t1,2
1:,utex2526_scaffold_13_g29.t1,2
6:,utex395_scaffold_2_g272.t1,2
3:,utexb3016_scaffold_18_g750.t1,2
1:,utex2526_scaffold_14_g133.t1,2
1:,utex2526_scaffold_14_g149.t1,2
4:,utexb3016_scaffold_17_g826.t1,2
11:,utexb3016_scaffold_22_g1099.t1,2
1:,utex2526_scaffold_14_g232.t1,2
3:,utex2526_scaffold_15_g74.t1,2
8:,utex395_scaffold_2_g274.t1,2
7:,utexb3016_scaffold_15_g711.t1,2
1:,utex2526_scaffold_15_g71.t1,2
5:,utexb3016_scaffold_15_g597.t1,2
0:,utexb3016_scaffold_22_g641.t1,2
0:,utexb3016_scaffold_22_g597.t1,2
0:,utexb3016_scaffold_22_g577.t1,2
0:,utexb3016_scaffold_22_g554.t1,2
4:,utex2526_scaffold_10_g663.t1,2
17:,utex2526_scaffold_15_g101.t1,2
7:,utex395_scaffold_18_g380.t1,2
9:,utexb3016_scaffold_17_g693.t1,2
9:,utex2526_scaffold_15_g92.t1,2
0:,utexb3016_scaffold_22_g1049.t1,2
2:,utexb3016_scaffold_18_g749.t1,2
2:,utexb3016_scaffold_18_g745.t1,2
4:,utex395_scaffold_18_g375.t1,2
0:,utexb3016_scaffold_21_g828.t1,2
4:,utex395_scaffold_18_g426.t1,2
0:,utexb3016_scaffold_21_g717.t1,2
4:,utex2526_scaffold_12_g340.t1,2
23:,utex2526_scaffold_15_g210.t1,2
2:,utexb3016_scaffold_17_g543.t1,2
10:,utex2526_scaffold_15_g93.t1,2
4:,utex2526_scaffold_15_g186.t1,2
7:,utex2526_scaffold_15_g189.t1,2
2:,utexb3016_scaffold_22_g556.t1,2
4:,utex2526_scaffold_15_g461.t1,2
4:,utex2526_scaffold_15_g1075.t1,2
4:,utex2526_scaffold_15_g1046.t1,2
4:,utex2526_scaffold_15_g484.t1,2
7:,utex2526_scaffold_15_g467.t1,2
7:,utex2526_scaffold_3_g283.t1,2
4:,utex2526_scaffold_15_g75.t1,2
4:,utex2526_scaffold_15_g933.t1,2
4:,utex2526_scaffold_22_g29.t1,2
7:,utex2526_scaffold_22_g33.t1,2
10:,utex395_scaffold_20_g579.t1,2
4:,utex2526_scaffold_23_g95.t1,2
0:,utexb3016_scaffold_22_g944.t1,2
0:,utexb3016_scaffold_21_g56.t1,2
0:,utexb3016_scaffold_21_g1230.t1,2
1:,utexb3016_scaffold_21_g829.t1,2
0:,utexb3016_scaffold_15_g694.t1,2
0:,utexb3016_scaffold_16_g681.t1,2
1:,utexb3016_scaffold_22_g642.t1,2
5:,utexb3016_scaffold_21_g446.t1,2
1:,utexb3016_scaffold_22_g598.t1,2
5:,utex2526_scaffold_15_g934.t1,2
1:,utexb3016_scaffold_22_g555.t1,2
6:,utexb3016_scaffold_21_g79.t1,2
0:,utexb3016_scaffold_15_g592.t1,2
25:,utex2526_scaffold_15_g217.t1,2
5:,utexb3016_scaffold_21_g859.t1,2
7:,utexb3016_scaffold_10_g796.t1,2
5:,utex2526_scaffold_15_g76.t1,2
2:,utexb3016_scaffold_10_g257.t1,2
5:,utex2526_scaffold_15_g485.t1,2
0:,utexb3016_scaffold_13_g1.t1,2
5:,utex2526_scaffold_15_g462.t1,2
5:,utex2526_scaffold_22_g31.t1,2
5:,utex2526_scaffold_23_g96.t1,2
15:,utex2526_scaffold_15_g98.t1,2
10:,utexb3016_scaffold_21_g779.t1,2
0:,utexb3016_scaffold_21_g1146.t1,2
5:,utexb3016_scaffold_17_g658.t1,2
15:,utex2526_scaffold_15_g428.t1,2
9:,utexb3016_scaffold_22_g1261.t1,2
9:,utexb3016_scaffold_22_g620.t1,2
0:,utexb3016_scaffold_18_g747.t1,2
5:,utex395_scaffold_17_g14.t1,2
2:,utexb3016_scaffold_15_g594.t1,2
7:,utex395_scaffold_2_g273.t1,2
18:,utex2526_scaffold_15_g104.t1,2
0:,utexb3016_scaffold_17_g662.t1,2
0:,utexb3016_scaffold_17_g635.t1,2
10:,utexb3016_scaffold_22_g1098.t1,2
10:,utexb3016_scaffold_22_g1271.t1,2
6:,utexb3016_scaffold_22_g611.t1,2
1:,utexb3016_scaffold_22_g946.t1,2
0:,utex2526_scaffold_23_g91.t1,2
2:,utexb3016_scaffold_22_g600.t1,2
1:,utex2526_scaffold_22_g5.t1,2
0:,utex2526_scaffold_12_g519.t1,2
4:,utexb3016_scaffold_22_g1103.t1,2
6:,utex2526_scaffold_22_g32.t1,2
8:,utex2526_scaffold_15_g251.t1,2
0:,utex2526_scaffold_15_g747.t1,2
1:,utex2526_scaffold_15_g929.t1,2
0:,utex2526_scaffold_15_g78.t1,2
2:,utex2526_scaffold_15_g183.t1,2
0:,utex2526_scaffold_15_g784.t1,2
4:,utexb3016_scaffold_22_g571.t1,2
0:,utex2526_scaffold_15_g1177.t1,2
0:,utex2526_scaffold_12_g247.t1,2
0:,utex2526_scaffold_14_g148.t1,2
2:,utex2526_scaffold_15_g234.t1,2
12:,utex2526_scaffold_15_g95.t1,2
3:,utexb3016_scaffold_15_g595.t1,2
0:,utex2526_scaffold_15_g853.t1,2
4:,utexb3016_scaffold_21_g68.t1,2
4:,utexb3016_scaffold_22_g612.t1,2
2:,utex2526_scaffold_23_g93.t1,2
0:,utex2526_scaffold_15_g70.t1,2
2:,utex2526_scaffold_15_g843.t1,2
0:,utex2526_scaffold_14_g19.t1,2
3:,utex395_scaffold_18_g374.t1,2
1:,utex2526_scaffold_23_g92.t1,2
2:,utex2526_scaffold_15_g1181.t1,2
4:,utexb3016_scaffold_22_g665.t1,2
0:,utex2526_scaffold_15_g456.t1,2
2:,utex2526_scaffold_22_g6.t1,2
2:,utex2526_scaffold_15_g73.t1,2
2:,utex2526_scaffold_10_g614.t1,2
0:,utex2526_scaffold_10_g610.t1,2
6:,utex395_scaffold_17_g387.t1,2
0:,utex2526_scaffold_15_g470.t1,2
8:,utex2526_scaffold_15_g91.t1,2
1:,utex395_scaffold_18_g372.t1,2
6:,utex395_scaffold_24_g320.t1,2
1:,utex395_scaffold_18_g414.t1,2
0:,utex2526_scaffold_15_g641.t1,2
2:,utex2526_scaffold_15_g644.t1,2
6:,utex2526_scaffold_14_g321.t1,2
6:,utex2526_scaffold_15_g935.t1,2
2:,utex2526_scaffold_12_g524.t1,2
8:,utex2526_scaffold_15_g468.t1,2
2:,utex2526_scaffold_15_g474.t1,2
3:,utex395_scaffold_2_g14.t1,2
0:,utex2526_scaffold_12_g597.t1,2
1:,utex2526_scaffold_15_g79.t1,2
3:,utexb3016_scaffold_10_g258.t1,2
6:,utex395_scaffold_1_g230.t1,2
2:,utex2526_scaffold_15_g458.t1,2
4:,utexb3016_scaffold_22_g600.t1,2
2:,utex2526_scaffold_15_g930.t1,2
1:,utex2526_scaffold_15_g786.t1,2
0:,utex2526_scaffold_10_g372.t1,2
2:,utex2526_scaffold_12_g261.t1,2
6:,utex2526_scaffold_23_g97.t1,2
0:,utex2526_scaffold_17_g2.t1,2
2:,utex2526_scaffold_10_g500.t1,2
2:,utex2526_scaffold_12_g193.t1,2
1:,utex2526_scaffold_15_g733.t1,2
0:,utex2526_scaffold_15_g928.t1,2
1:,utex2526_scaffold_15_g748.t1,2
12:,utexb3016_scaffold_22_g679.t1,2
0:,utex2526_scaffold_14_g132.t1,2
13:,utex2526_scaffold_15_g425.t1,2
6:,utex2526_scaffold_15_g465.t1,2
0:,utex2526_scaffold_15_g178.t1,2
5:,utex395_scaffold_18_g739.t1,1
5:,utex395_scaffold_18_g252.t1,1
5:,utex395_scaffold_18_g216.t1,1
5:,utex395_scaffold_18_g212.t1,1
5:,utex395_scaffold_18_g695.t1,1
5:,utex395_scaffold_17_g519.t1,1
5:,utex395_scaffold_17_g83.t1,1
5:,utex395_scaffold_17_g655.t1,1
5:,utex395_scaffold_18_g155.t1,1
5:,utex395_scaffold_18_g696.t1,1
5:,utex395_scaffold_18_g131.t1,1
51:,utex395_scaffold_1_g156.t1,1
5:,utex395_scaffold_18_g116.t1,1
5:,utex395_scaffold_17_g713.t1,1
5:,utex395_scaffold_18_g104.t1,1
5:,utex395_scaffold_18_g10.t1,1
5:,utex395_scaffold_18_g73.t1,1
5:,utex395_scaffold_18_g191.t1,1
5:,utex395_scaffold_18_g453.t1,1
5:,utex395_scaffold_18_g282.t1,1
5:,utex395_scaffold_18_g404.t1,1
5:,utex395_scaffold_18_g436.t1,1
5:,utex395_scaffold_18_g462.t1,1
5:,utex395_scaffold_18_g496.t1,1
5:,utex395_scaffold_18_g50.t1,1
5:,utex395_scaffold_18_g427.t1,1
5:,utex395_scaffold_18_g500.t1,1
5:,utex395_scaffold_18_g424.t1,1
5:,utex395_scaffold_17_g51.t1,1
5:,utex395_scaffold_18_g420.t1,1
5:,utex395_scaffold_18_g527.t1,1
50:,utexb3016_scaffold_22_g500.t1,1
5:,utex395_scaffold_18_g384.t1,1
5:,utex395_scaffold_18_g643.t1,1
5:,utex395_scaffold_18_g376.t1,1
5:,utex395_scaffold_18_g369.t1,1
5:,utex395_scaffold_18_g352.t1,1
5:,utex395_scaffold_18_g545.t1,1
5:,utex395_scaffold_18_g320.t1,1
51:,utex2526_scaffold_15_g377.t1,1
5:,utex395_scaffold_18_g562.t1,1
5:,utex395_scaffold_18_g310.t1,1
5:,utex395_scaffold_18_g601.t1,1
5:,utex395_scaffold_18_g639.t1,1
51:,utex395_scaffold_17_g228.t1,1
50:,utexb3016_scaffold_22_g402.t1,1
55:,utexb3016_scaffold_21_g981.t1,1
5:,utex395_scaffold_17_g508.t1,1
5:,utex2526_scaffold_3_g91.t1,1
51:,utexb3016_scaffold_20_g404.t1,1
51:,utexb3016_scaffold_21_g253.t1,1
5:,utex2526_scaffold_3_g61.t1,1
5:,utex2526_scaffold_3_g49.t1,1
5:,utex2526_scaffold_3_g283.t1,1
5:,utex2526_scaffold_3_g280.t1,1
5:,utex2526_scaffold_3_g176.t1,1
5:,utex2526_scaffold_3_g161.t1,1
5:,utex2526_scaffold_3_g16.t1,1
51:,utexb3016_scaffold_21_g972.t1,1
5:,utex2526_scaffold_3_g127.t1,1
5:,utex2526_scaffold_27_g638.t1,1
5:,utex2526_scaffold_27_g562.t1,1
5:,utex2526_scaffold_25_g67.t1,1
51:,utexb3016_scaffold_22_g1259.t1,1
5:,utex2526_scaffold_23_g85.t1,1
5:,utex2526_scaffold_23_g25.t1,1
5:,utex2526_scaffold_23_g112.t1,1
51:,utexb3016_scaffold_22_g211.t1,1
5:,utex2526_scaffold_22_g30.t1,1
5:,utex2526_scaffold_22_g16.t1,1
5:,utex2526_scaffold_22_g11.t1,1
5:,utex2526_scaffold_1_g7.t1,1
5:,utex2526_scaffold_1_g22.t1,1
5:,utex2526_scaffold_19_g13.t1,1
51:,utexb3016_scaffold_22_g406.t1,1
51:,utexb3016_scaffold_22_g504.t1,1
5:,utex2526_scaffold_18_g10.t1,1
5:,utex2526_scaffold_15_g997.t1,1
5:,utex2526_scaffold_3_g7.t1,1
5:,utex2526_scaffold_3_g93.t1,1
5:,utex395_scaffold_17_g492.t1,1
5:,utex2526_scaffold_7_g89.t1,1
5:,utex395_scaffold_17_g462.t1,1
5:,utex395_scaffold_17_g435.t1,1
5:,utex395_scaffold_17_g433.t1,1
5:,utex395_scaffold_17_g428.t1,1
5:,utex395_scaffold_17_g419.t1,1
5:,utex395_scaffold_17_g409.t1,1
5:,utex395_scaffold_17_g386.t1,1
5:,utex395_scaffold_17_g38.t1,1
5:,utex395_scaffold_17_g377.t1,1
5:,utex395_scaffold_17_g329.t1,1
5:,utex395_scaffold_17_g265.t1,1
5:,utex395_scaffold_17_g260.t1,1
5:,utex395_scaffold_17_g253.t1,1
5:,utex395_scaffold_17_g244.t1,1
5:,utex395_scaffold_19_g211.t1,1
5:,utex395_scaffold_17_g210.t1,1
5:,utex395_scaffold_17_g17.t1,1
5:,utex395_scaffold_15_g124.t1,1
5:,utex395_scaffold_13_g80.t1,1
5:,utex395_scaffold_13_g61.t1,1
5:,utex395_scaffold_13_g27.t1,1
51:,utex395_scaffold_20_g294.t1,1
5:,utex395_scaffold_13_g20.t1,1
51:,utex395_scaffold_20_g97.t1,1
51:,utex395_scaffold_25_g421.t1,1
5:,utex395_scaffold_12_g18.t1,1
51:,utexb3016_scaffold_16_g493.t1,1
5:,utex395_scaffold_12_g16.t1,1
5:,utex2526_scaffold_7_g92.t1,1
5:,utex395_scaffold_18_g88.t1,1
5:,utex395_scaffold_1_g315.t1,1
5:,utex395_scaffold_19_g23.t1,1
5:,utex395_scaffold_24_g196.t1,1
5:,utex395_scaffold_24_g546.t1,1
5:,utex395_scaffold_24_g569.t1,1
5:,utex395_scaffold_24_g580.t1,1
5:,utex395_scaffold_24_g598.t1,1
4:,utexb3016_scaffold_7_g291.t1,1
5:,utex395_scaffold_24_g666.t1,1
5:,utex395_scaffold_24_g685.t1,1
5:,utex395_scaffold_24_g704.t1,1
5:,utex395_scaffold_24_g715.t1,1
5:,utex395_scaffold_24_g783.t1,1
5:,utex395_scaffold_24_g838.t1,1
5:,utex395_scaffold_24_g842.t1,1
5:,utex395_scaffold_25_g1005.t1,1
5:,utex395_scaffold_25_g105.t1,1
5:,utex395_scaffold_25_g1130.t1,1
5:,utex395_scaffold_24_g536.t1,1
5:,utex395_scaffold_24_g523.t1,1
5:,utex395_scaffold_24_g474.t1,1
4:,utexb3016_scaffold_7_g381.t1,1
50:,utex2526_scaffold_15_g376.t1,1
5:,utex395_scaffold_24_g267.t1,1
5:,utex395_scaffold_24_g297.t1,1
5:,utex395_scaffold_24_g316.t1,1
4:,utexb3016_scaffold_7_g440.t1,1
5:,utex395_scaffold_24_g354.t1,1
5:,utex395_scaffold_24_g372.t1,1
5:,utex395_scaffold_24_g468.t1,1
4:,utexb3016_scaffold_7_g354.t1,1
5:,utex395_scaffold_24_g383.t1,1
4:,utexb3016_scaffold_7_g316.t1,1
5:,utex395_scaffold_24_g402.t1,1
5:,utex395_scaffold_24_g406.t1,1
5:,utex395_scaffold_24_g423.t1,1
5:,utex395_scaffold_25_g1151.t1,1
5:,utex395_scaffold_25_g1192.t1,1
5:,utex395_scaffold_25_g1196.t1,1
5:,utex395_scaffold_25_g658.t1,1
4:,utexb3016_scaffold_7_g220.t1,1
4:,utexb3016_scaffold_7_g168.t1,1
4:,utexb3016_scaffold_7_g154.t1,1
5:,utex395_scaffold_25_g598.t1,1
4:,utexb3016_scaffold_7_g128.t1,1
5:,utex395_scaffold_25_g625.t1,1
5:,utex395_scaffold_25_g696.t1,1
5:,utex395_scaffold_25_g524.t1,1
4:,utexb3016_scaffold_22_g995.t1,1
5:,utex395_scaffold_25_g71.t1,1
5:,utex395_scaffold_25_g723.t1,1
5:,utex395_scaffold_25_g774.t1,1
4:,utexb3016_scaffold_22_g983.t1,1
5:,utex395_scaffold_25_g796.t1,1
5:,utex395_scaffold_25_g597.t1,1
4:,utexb3016_scaffold_7_g245.t1,1
5:,utex395_scaffold_25_g1250.t1,1
5:,utex395_scaffold_25_g209.t1,1
5:,utex395_scaffold_25_g1318.t1,1
5:,utex395_scaffold_25_g135.t1,1
5:,utex395_scaffold_25_g1356.t1,1
4:,utexb3016_scaffold_7_g289.t1,1
5:,utex395_scaffold_25_g1393.t1,1
5:,utex395_scaffold_25_g168.t1,1
5:,utex395_scaffold_25_g216.t1,1
5:,utex395_scaffold_25_g515.t1,1
5:,utex395_scaffold_25_g265.t1,1
5:,utex395_scaffold_25_g28.t1,1
5:,utex395_scaffold_25_g286.t1,1
5:,utex395_scaffold_25_g319.t1,1
5:,utex395_scaffold_25_g359.t1,1
5:,utex395_scaffold_25_g477.t1,1
5:,utex395_scaffold_24_g244.t1,1
5:,utex395_scaffold_24_g192.t1,1
5:,utex395_scaffold_1_g107.t1,1
5:,utex395_scaffold_24_g122.t1,1
5:,utex395_scaffold_1_g401.t1,1
5:,utex395_scaffold_1_g43.t1,1
5:,utex395_scaffold_1_g436.t1,1
5:,utex395_scaffold_1_g487.t1,1
5:,utex395_scaffold_1_g489.t1,1
5:,utex395_scaffold_1_g72.t1,1
5:,utex395_scaffold_20_g107.t1,1
5:,utex395_scaffold_20_g120.t1,1
50:,utexb3016_scaffold_20_g400.t1,1
5:,utex395_scaffold_20_g13.t1,1
5:,utex395_scaffold_20_g147.t1,1
50:,utexb3016_scaffold_18_g903.t1,1
5:,utex395_scaffold_20_g194.t1,1
5:,utex395_scaffold_20_g267.t1,1
5:,utex395_scaffold_20_g29.t1,1
5:,utex395_scaffold_1_g400.t1,1
5:,utex395_scaffold_1_g389.t1,1
5:,utex395_scaffold_1_g350.t1,1
5:,utex395_scaffold_1_g223.t1,1
50:,utexb3016_scaffold_22_g210.t1,1
5:,utex395_scaffold_1_g108.t1,1
5:,utex395_scaffold_1_g150.t1,1
5:,utex395_scaffold_1_g17.t1,1
5:,utex395_scaffold_1_g185.t1,1
50:,utexb3016_scaffold_22_g1257.t1,1
5:,utex395_scaffold_1_g229.t1,1
50:,utexb3016_scaffold_21_g252.t1,1
5:,utex395_scaffold_1_g23.t1,1
5:,utex395_scaffold_1_g270.t1,1
5:,utex395_scaffold_1_g272.t1,1
5:,utex395_scaffold_1_g28.t1,1
52:,utex2526_scaffold_15_g378.t1,1
50:,utexb3016_scaffold_21_g969.t1,1
5:,utex395_scaffold_20_g377.t1,1
5:,utex395_scaffold_20_g509.t1,1
50:,utexb3016_scaffold_16_g492.t1,1
5:,utex395_scaffold_23_g342.t1,1
50:,utex395_scaffold_1_g155.t1,1
5:,utex395_scaffold_23_g181.t1,1
5:,utex395_scaffold_23_g229.t1,1
5:,utex395_scaffold_23_g247.t1,1
5:,utex395_scaffold_23_g274.t1,1
5:,utex395_scaffold_23_g330.t1,1
5:,utex395_scaffold_23_g432.t1,1
5:,utex395_scaffold_23_g17.t1,1
5:,utex395_scaffold_23_g62.t1,1
50:,utex395_scaffold_17_g222.t1,1
5:,utex395_scaffold_23_g75.t1,1
5:,utex395_scaffold_23_g88.t1,1
5:,utex395_scaffold_24_g101.t1,1
5:,utex395_scaffold_24_g102.t1,1
5:,utex395_scaffold_23_g179.t1,1
50:,utex395_scaffold_20_g292.t1,1
50:,utex395_scaffold_25_g418.t1,1
5:,utex395_scaffold_20_g66.t1,1
50:,utex395_scaffold_20_g96.t1,1
5:,utex395_scaffold_20_g546.t1,1
5:,utex395_scaffold_20_g556.t1,1
5:,utex395_scaffold_20_g571.t1,1
5:,utex395_scaffold_20_g632.t1,1
5:,utex395_scaffold_20_g657.t1,1
5:,utex395_scaffold_20_g697.t1,1
5:,utex395_scaffold_23_g133.t1,1
5:,utex395_scaffold_20_g745.t1,1
5:,utex395_scaffold_20_g780.t1,1
5:,utex395_scaffold_20_g805.t1,1
5:,utex395_scaffold_22_g272.t1,1
5:,utex395_scaffold_22_g299.t1,1
5:,utex395_scaffold_22_g338.t1,1
5:,utex2526_scaffold_15_g968.t1,1
5:,utex2526_scaffold_15_g791.t1,1
5:,utex2526_scaffold_15_g951.t1,1
54:,utex395_scaffold_20_g297.t1,1
5:,utex2526_scaffold_10_g536.t1,1
5:,utex2526_scaffold_10_g543.t1,1
5:,utex2526_scaffold_10_g557.t1,1
5:,utex2526_scaffold_10_g574.t1,1
5:,utex2526_scaffold_10_g575.t1,1
5:,utex2526_scaffold_10_g580.t1,1
5:,utex2526_scaffold_10_g606.t1,1
54:,utex395_scaffold_25_g424.t1,1
5:,utex2526_scaffold_10_g617.t1,1
5:,utex2526_scaffold_10_g625.t1,1
5:,utex2526_scaffold_10_g632.t1,1
54:,utex395_scaffold_20_g113.t1,1
5:,utex2526_scaffold_10_g653.t1,1
5:,utex2526_scaffold_10_g665.t1,1
5:,utex2526_scaffold_10_g505.t1,1
54:,utexb3016_scaffold_16_g498.t1,1
54:,utexb3016_scaffold_20_g407.t1,1
5:,utex2526_scaffold_10_g393.t1,1
59:,utexb3016_scaffold_22_g416.t1,1
59:,utexb3016_scaffold_22_g513.t1,1
5:,utex2526_scaffold_10_g116.t1,1
5:,utex2526_scaffold_10_g150.t1,1
5:,utex2526_scaffold_10_g191.t1,1
5:,utex2526_scaffold_10_g280.t1,1
5:,utex2526_scaffold_10_g394.t1,1
5:,utex2526_scaffold_10_g503.t1,1
5:,utex2526_scaffold_10_g41.t1,1
5:,utex2526_scaffold_10_g418.t1,1
5:,utex2526_scaffold_10_g445.t1,1
5:,utex2526_scaffold_10_g459.t1,1
5:,utex2526_scaffold_10_g464.t1,1
5:,utex2526_scaffold_10_g483.t1,1
5:,utex2526_scaffold_10_g676.t1,1
5:,utex2526_scaffold_10_g69.t1,1
54:,utex395_scaffold_1_g162.t1,1
54:,utex2526_scaffold_15_g380.t1,1
5:,utex2526_scaffold_12_g310.t1,1
5:,utex2526_scaffold_12_g319.t1,1
54:,utex395_scaffold_17_g238.t1,1
5:,utex2526_scaffold_12_g341.t1,1
5:,utex2526_scaffold_12_g343.t1,1
5:,utex2526_scaffold_12_g352.t1,1
5:,utex2526_scaffold_12_g373.t1,1
5:,utex2526_scaffold_10_g82.t1,1
5:,utex2526_scaffold_12_g375.t1,1
5:,utex2526_scaffold_12_g386.t1,1
5:,utex2526_scaffold_12_g439.t1,1
5:,utex2526_scaffold_12_g442.t1,1
5:,utex2526_scaffold_12_g473.t1,1
5:,utex2526_scaffold_12_g518.t1,1
5:,utex2526_scaffold_12_g307.t1,1
5:,utex2526_scaffold_12_g305.t1,1
5:,utex2526_scaffold_12_g277.t1,1
5:,utex2526_scaffold_12_g276.t1,1
5:,utex2526_scaffold_12_g246.t1,1
5:,utex2526_scaffold_12_g242.t1,1
5:,utex2526_scaffold_12_g206.t1,1
5:,utex2526_scaffold_12_g197.t1,1
5:,utex2526_scaffold_12_g190.t1,1
5:,utex2526_scaffold_12_g179.t1,1
5:,utex2526_scaffold_12_g175.t1,1
5:,utex2526_scaffold_12_g146.t1,1
5:,utex2526_scaffold_12_g131.t1,1
5:,utex2526_scaffold_11_g62.t1,1
5:,utex2526_scaffold_11_g45.t1,1
5:,utex2526_scaffold_11_g12.t1,1
5:,utex2526_scaffold_10_g92.t1,1
59:,utexb3016_scaffold_22_g229.t1,1
59:,utexb3016_scaffold_22_g1317.t1,1
5:,utex2526_scaffold_15_g940.t1,1
55:,utex395_scaffold_20_g298.t1,1
56:,utexb3016_scaffold_22_g411.t1,1
56:,utexb3016_scaffold_22_g510.t1,1
57:,utex2526_scaffold_15_g385.t1,1
57:,utex395_scaffold_17_g241.t1,1
55:,utex395_scaffold_25_g425.t1,1
57:,utex395_scaffold_1_g169.t1,1
57:,utex395_scaffold_20_g120.t1,1
56:,utexb3016_scaffold_22_g1297.t1,1
55:,utex395_scaffold_20_g114.t1,1
57:,utex395_scaffold_20_g301.t1,1
57:,utex395_scaffold_25_g430.t1,1
57:,utexb3016_scaffold_16_g501.t1,1
55:,utex395_scaffold_1_g163.t1,1
55:,utex395_scaffold_17_g239.t1,1
56:,utexb3016_scaffold_22_g224.t1,1
56:,utexb3016_scaffold_21_g985.t1,1
59:,utexb3016_scaffold_21_g993.t1,1
56:,utex395_scaffold_1_g164.t1,1
55:,utexb3016_scaffold_22_g220.t1,1
55:,utexb3016_scaffold_22_g410.t1,1
55:,utexb3016_scaffold_22_g508.t1,1
56:,utex2526_scaffold_15_g383.t1,1
56:,utex395_scaffold_17_g240.t1,1
55:,utexb3016_scaffold_21_g271.t1,1
55:,utexb3016_scaffold_20_g418.t1,1
56:,utexb3016_scaffold_21_g272.t1,1
55:,utexb3016_scaffold_16_g499.t1,1
56:,utex395_scaffold_20_g115.t1,1
56:,utex395_scaffold_20_g300.t1,1
56:,utex395_scaffold_25_g428.t1,1
56:,utexb3016_scaffold_16_g500.t1,1
56:,utexb3016_scaffold_20_g419.t1,1
57:,utexb3016_scaffold_20_g420.t1,1
55:,utex2526_scaffold_15_g381.t1,1
57:,utexb3016_scaffold_21_g273.t1,1
59:,utex395_scaffold_20_g306.t1,1
58:,utexb3016_scaffold_22_g512.t1,1
59:,utex2526_scaffold_15_g387.t1,1
59:,utex395_scaffold_17_g252.t1,1
54:,utexb3016_scaffold_22_g409.t1,1
59:,utex395_scaffold_1_g172.t1,1
54:,utexb3016_scaffold_22_g218.t1,1
54:,utexb3016_scaffold_22_g1291.t1,1
57:,utexb3016_scaffold_21_g988.t1,1
